template({context: `{content} - T {toxic_rate}, IT {insult_rate}, TH {threat_rate}, RC {racist_rate}, SEX {sexual_rate}`});
di hp bisa kah? - T 91, IT 1, TH 0, RC 3, SEX 40
 pake hp aja - T 13, IT 12, TH 7, RC 10, SEX 0
bisa - T 80, IT 4, TH 0, RC 11, SEX 46
oke - T 30, IT 14, TH 0, RC 12, SEX 35
ane kemaren claim game apa gitu di hp bisa - T 9, IT 0, TH 0, RC 0, SEX 1
pas kemaren ubisoft bagi game farcry aja ane claim pake hp - T 2, IT 7, TH 0, RC 2, SEX 0
web epic games apa? - T 25, IT 19, TH 0, RC 7, SEX 45
epic game store - T 30, IT 14, TH 0, RC 12, SEX 35
oke - T 30, IT 14, TH 0, RC 12, SEX 35
ada metal gear solid - T 1, IT 0, TH 0, RC 2, SEX 2
resident evil 7 juga - T 9, IT 16, TH 0, RC 2, SEX 20
gem gratis kuotanya ga gratis  - T 1, IT 12, TH 7, RC 8, SEX 0
koak - T 30, IT 14, TH 0, RC 12, SEX 35
mana ada mhw di egs - T 0, IT 0, TH 0, RC 0, SEX 0
hadehhh - T 30, IT 14, TH 0, RC 12, SEX 35
ane udah punya banyak game pc - T 74, IT 25, TH 9, RC 11, SEX 1
pc-nya nggak ada - T 1, IT 0, TH 0, RC 2, SEX 2
sama - T 4, IT 3, TH 0, RC 2, SEX 2
this - T 30, IT 14, TH 0, RC 12, SEX 35
ubisoft juga lagi promo kah? - T 12, IT 19, TH 0, RC 0, SEX 18
udah nggak - T 32, IT 12, TH 0, RC 14, SEX 54
aku jga banyaktpi tani semua  - T 2, IT 1, TH 0, RC 1, SEX 0
pas tengah taun doang tu - T 4, IT 9, TH 0, RC 3, SEX 5
pas gta v gratis dulu ane malah gak bisa claim gegara error - T 0, IT 0, TH 0, RC 0, SEX 0
ane bisa - T 80, IT 4, TH 0, RC 11, SEX 46
banyak penimbun soalnya - T 0, IT 0, TH 0, RC 0, SEX 0
ngeklaim doang ga download - T 0, IT 23, TH 0, RC 2, SEX 0
pas coca cola ane dapet 15 botol - T 30, IT 11, TH 0, RC 14, SEX 29
fl ane nimbun 174 akun - T 7, IT 2, TH 0, RC 4, SEX 18
anjir - T 12, IT 24, TH 0, RC 9, SEX 21
ane eror ngak bisa login pas gta 5 gratis:tabahbro: - T 76, IT 3, TH 0, RC 11, SEX 42
di jual satu akun 50k - T 1, IT 0, TH 0, RC 0, SEX 1
njir - T 0, IT 0, TH 0, RC 1, SEX 1
dikit nyesel sih gak bisa claim dulu - T 0, IT 2, TH 0, RC 0, SEX 0
ane mau beli ps4 - T 4, IT 2, TH 0, RC 1, SEX 4
nggak ada duit - T 3, IT 0, TH 0, RC 13, SEX 21
nanggung udh ada ps 5 - T 0, IT 0, TH 0, RC 3, SEX 1
abis ke basket mulu beli baju lah sepatu lah - T 8, IT 1, TH 0, RC 6, SEX 2
apalagi sepatunya beuh - T 42, IT 25, TH 0, RC 9, SEX 30
banyak koleksi ane - T 30, IT 25, TH 0, RC 12, SEX 7
yg di pake 1 doang - T 7, IT 1, TH 0, RC 0, SEX 6
sisanya pajangan doang - T 4, IT 8, TH 0, RC 4, SEX 12
dpet lagi - T 48, IT 19, TH 0, RC 3, SEX 29
hasil mancing - T 30, IT 14, TH 0, RC 12, SEX 35
akaoakaoaka - T 30, IT 14, TH 0, RC 12, SEX 35
epic - T 30, IT 14, TH 0, RC 12, SEX 35
epic tukang skem - T 30, IT 14, TH 0, RC 12, SEX 35
mancing dimana vang - T 1, IT 0, TH 0, RC 2, SEX 4
njirt - T 30, IT 14, TH 0, RC 12, SEX 35
kbsl vang - T 30, IT 14, TH 0, RC 12, SEX 35
untung belum - T 0, IT 0, TH 0, RC 2, SEX 1
parah aku di kik - T 4, IT 0, TH 0, RC 0, SEX 0
njir koak - T 0, IT 0, TH 0, RC 1, SEX 1
tpi tdi ane ngeclaim ini semua - T 11, IT 12, TH 0, RC 1, SEX 1
mhw - T 30, IT 14, TH 0, RC 12, SEX 35
horizon - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh hari gini - T 0, IT 0, TH 0, RC 0, SEX 0
max max apa yg maxsud amat? maxim ff - T 1, IT 1, TH 0, RC 0, SEX 10
ane ngeclaim itu gppkan?ane jaga jaga aja kalo punya pc - T 1, IT 18, TH 0, RC 13, SEX 0
gff - T 30, IT 14, TH 0, RC 12, SEX 35
claim mah claim aja hadehh - T 3, IT 59, TH 0, RC 2, SEX 0
kamu left bego - T 14, IT 66, TH 16, RC 13, SEX 0
ohh takutnya ane kenapa napa - T 14, IT 5, TH 1, RC 6, SEX 3
ada di log - T 0, IT 0, TH 0, RC 0, SEX 1
gff - T 30, IT 14, TH 0, RC 12, SEX 35
epic games - T 30, IT 14, TH 0, RC 12, SEX 35
kaga left gweh - T 13, IT 16, TH 0, RC 20, SEX 10
ingpo - T 12, IT 7, TH 0, RC 20, SEX 13
ada ff gx - T 1, IT 0, TH 0, RC 2, SEX 2
game hari ini - T 1, IT 1, TH 0, RC 1, SEX 0
gatau juga kalo di left temen - T 3, IT 1, TH 0, RC 0, SEX 3
wait - T 30, IT 14, TH 0, RC 12, SEX 35
left di log - T 20, IT 3, TH 0, RC 1, SEX 11
konten ff viewers nya banyak loh - T 1, IT 11, TH 0, RC 2, SEX 1
wakakak - T 30, IT 14, TH 0, RC 12, SEX 35
ingpit lagih - T 30, IT 14, TH 0, RC 12, SEX 35
aku bikin giveaway diamond ah - T 0, IT 0, TH 0, RC 1, SEX 1
biar banyak bocil - T 96, IT 32, TH 0, RC 1, SEX 97
di  - T 12, IT 1, TH 5, RC 3, SEX 1
baru di promotin ihsan - T 2, IT 1, TH 0, RC 1, SEX 4
jangan kau hina ff kuatau burungmu jadi mangsaku - T 73, IT 51, TH 16, RC 16, SEX 3
ingpo - T 12, IT 7, TH 0, RC 20, SEX 13
sepi yang join ga cuma 32 - T 0, IT 20, TH 0, RC 2, SEX 0
hadeh gay amat cul - T 0, IT 3, TH 0, RC 0, SEX 0
to @penghina ff - T 30, IT 14, TH 0, RC 12, SEX 35
pler - T 97, IT 3, TH 0, RC 2, SEX 100
10 detik - T 13, IT 4, TH 0, RC 7, SEX 6
selamat pagi/siang/sore/malam member pos. jangan coba-coba melanggar rules walaupun staff lagi offline ya.apapun yang kalian lakukan akan dicatat oleh .  - T 1, IT 0, TH 0, RC 0, SEX 0
ciseru ga? - T 30, IT 14, TH 0, RC 12, SEX 35
kontoi - T 99, IT 2, TH 0, RC 2, SEX 100
cities skyline apaan? - T 30, IT 14, TH 0, RC 12, SEX 35
udah - T 32, IT 12, TH 0, RC 14, SEX 54
bentar g unban - T 3, IT 7, TH 0, RC 7, SEX 11
aku - T 5, IT 2, TH 0, RC 2, SEX 5
okok - T 30, IT 14, TH 0, RC 12, SEX 35
jah - T 15, IT 21, TH 0, RC 8, SEX 8
jah - T 15, IT 21, TH 0, RC 8, SEX 8
ane kan udh lock 18 - T 32, IT 20, TH 0, RC 32, SEX 41
server down kampret - T 22, IT 71, TH 0, RC 7, SEX 4
buset ga ga angka ane - T 1, IT 36, TH 0, RC 7, SEX 1
, selamat, level cintamu kepada lort naik menjadi level 2!   - T 0, IT 0, TH 0, RC 0, SEX 0
ekwkwkkwkw - T 30, IT 14, TH 0, RC 12, SEX 35
coba rejoin, ga aku ban soalnya - T 0, IT 0, TH 0, RC 0, SEX 0
 bentar - T 27, IT 4, TH 4, RC 15, SEX 5
ris - T 30, IT 14, TH 0, RC 12, SEX 35
kharis - T 30, IT 14, TH 0, RC 12, SEX 35
kamu pake laptop apa pisi - T 10, IT 7, TH 28, RC 1, SEX 0
cek aj ini sshttps://prnt.sc/w4sl8i - T 37, IT 21, TH 0, RC 2, SEX 3
masih - T 44, IT 22, TH 0, RC 18, SEX 51
aneh akun aku - T 0, IT 0, TH 0, RC 1, SEX 1
clone yg pernah kamu masukin di server aku ap aj ? - T 3, IT 25, TH 2, RC 0, SEX 0
gvlokoblok - T 30, IT 14, TH 0, RC 12, SEX 35
ada yg di ban pasti - T 1, IT 0, TH 0, RC 0, SEX 1
clone cuma 1 - T 49, IT 77, TH 0, RC 38, SEX 24
hahahahah - T 30, IT 14, TH 0, RC 12, SEX 35
yang nick zoro - T 3, IT 4, TH 0, RC 4, SEX 14
anjim - T 30, IT 14, TH 0, RC 12, SEX 35
muarimo - T 30, IT 14, TH 0, RC 12, SEX 35
coeg ingfo - T 66, IT 7, TH 0, RC 3, SEX 31
gratisan egs cititities skylines - T 30, IT 14, TH 0, RC 12, SEX 35
ane laptop - T 30, IT 14, TH 0, RC 12, SEX 35
bro - T 93, IT 72, TH 1, RC 49, SEX 58
afaan tuh? - T 30, IT 14, TH 0, RC 12, SEX 35
hamdeh, fup susah kleim - T 3, IT 2, TH 0, RC 2, SEX 6
ingpo sugar mommy, aku mau bei keyboard - T 0, IT 0, TH 0, RC 1, SEX 0
aku anak indonesia - T 1, IT 0, TH 0, RC 0, SEX 0
tes - T 30, IT 14, TH 0, RC 12, SEX 35
sehat dan kuat - T 55, IT 13, TH 0, RC 5, SEX 33
tis - T 30, IT 14, TH 0, RC 12, SEX 35
karena mama memberi - T 1, IT 3, TH 0, RC 68, SEX 6
besar sebelah - T 17, IT 1, TH 0, RC 2, SEX 11
sakatonik abc - T 30, IT 14, TH 0, RC 12, SEX 35
sehat kuat dan tahan lama - T 55, IT 13, TH 0, RC 5, SEX 33
aku cinta indonesia - T 0, IT 0, TH 0, RC 1, SEX 0
aku cinta israel - T 5, IT 2, TH 0, RC 2, SEX 5
nanges - T 30, IT 14, TH 0, RC 12, SEX 35
israel negaraku,ff gameku - T 30, IT 14, TH 0, RC 12, SEX 35
aku tampan - T 5, IT 2, TH 0, RC 2, SEX 5
kamu tampan - T 33, IT 40, TH 32, RC 33, SEX 0
kamu idaman malaikat pencabut nyawa - T 33, IT 40, TH 32, RC 33, SEX 0
jawa ya - T 9, IT 0, TH 0, RC 22, SEX 1
aku tuh - T 1, IT 0, TH 0, RC 1, SEX 1
hadehhh - T 30, IT 14, TH 0, RC 12, SEX 35
artinya - T 30, IT 14, TH 0, RC 12, SEX 35
hujan lagihujan apadi pipi - T 30, IT 14, TH 0, RC 12, SEX 35
asuu udan meneh = anjing ujan lagiudan apane cuk = hujan apanya cokneng pipi = di pipi - T 13, IT 2, TH 0, RC 2, SEX 12
mangsut udan neng pipi cok - T 0, IT 0, TH 0, RC 0, SEX 0
ngews mesti koe - T 68, IT 37, TH 0, RC 23, SEX 24
nangew - T 30, IT 14, TH 0, RC 12, SEX 35
geming ni gemink pasti - T 96, IT 19, TH 1, RC 7, SEX 66
btw sopo ki coek - T 10, IT 2, TH 0, RC 6, SEX 7
si cina - T 4, IT 4, TH 0, RC 38, SEX 1
ha? - T 30, IT 14, TH 0, RC 12, SEX 35
sp mas? - T 94, IT 5, TH 0, RC 4, SEX 99
hadeh namanya lupa gweh - T 0, IT 0, TH 0, RC 0, SEX 0
lupa ane - T 3, IT 5, TH 0, RC 4, SEX 5
van meijr - T 30, IT 14, TH 0, RC 12, SEX 35
bantu sy up vote di   plissupaya dunia perb0kepan maju - T 43, IT 5, TH 78, RC 0, SEX 0
fuck gonta ganti nik nem - T 92, IT 92, TH 0, RC 3, SEX 1
dia ngesimp van meijr - T 1, IT 3, TH 1, RC 1, SEX 3
assalamualaikum ya ahli discord - T 1, IT 0, TH 4, RC 0, SEX 0
walaikumsalam - T 30, IT 14, TH 0, RC 12, SEX 35
mod discord - T 0, IT 0, TH 0, RC 1, SEX 0
jah ane kaga tau namnya - T 0, IT 0, TH 0, RC 1, SEX 0
wallahualam - T 30, IT 14, TH 0, RC 12, SEX 35
waalaikumsalam - T 30, IT 14, TH 0, RC 12, SEX 35
ray furry - T 30, IT 14, TH 0, RC 12, SEX 35
hhh kamu kira ini server bokep - T 5, IT 13, TH 2, RC 1, SEX 0
ada t3mp4t b0kep harusnya kita manfaatkan - T 0, IT 0, TH 0, RC 0, SEX 1
sebagaimana mestinya - T 5, IT 4, TH 0, RC 8, SEX 8
waalaikumsalam - T 30, IT 14, TH 0, RC 12, SEX 35
welcome back , i removed your afk - T 23, IT 10, TH 0, RC 7, SEX 26
aku kalo lagi ngaceng suka taat kepada peraturan - T 5, IT 4, TH 0, RC 0, SEX 99
.avatar - T 30, IT 14, TH 0, RC 12, SEX 35
maksud furry - T 62, IT 26, TH 0, RC 3, SEX 95
manfaatkan semuanya selagi bisa - T 72, IT 3, TH 0, RC 6, SEX 25
hdeh baru bangun  - T 5, IT 2, TH 3, RC 9, SEX 2
hadegh - T 30, IT 14, TH 0, RC 12, SEX 35
siapa tuh - T 15, IT 0, TH 0, RC 2, SEX 9
pacar aku tuh - T 1, IT 0, TH 0, RC 1, SEX 1
!gws - T 30, IT 14, TH 0, RC 12, SEX 35
duh hujan hujan pengen mandi - T 90, IT 8, TH 1, RC 1, SEX 95
jangan mandi malam,asam urat - T 70, IT 96, TH 0, RC 17, SEX 12
harus mandi - T 50, IT 38, TH 0, RC 9, SEX 27
k.afk jilat ketek ganyu hmmm nikmat - T 20, IT 1, TH 0, RC 1, SEX 79
ramys#6112 telah afk! alasan: jilat ketek ganyu hmmm nikmat - T 36, IT 2, TH 0, RC 0, SEX 87
bangun bangun mimpi basah, belom isya - T 12, IT 12, TH 0, RC 10, SEX 23
bantul kato - T 18, IT 13, TH 0, RC 5, SEX 15
mimpi basah - T 30, IT 14, TH 0, RC 12, SEX 35
hammmdehh - T 30, IT 14, TH 0, RC 12, SEX 35
.avatar  - T 27, IT 4, TH 4, RC 15, SEX 5
, ramys#6112 saat ini sedang afk - 1 minutes, 29 seconds agoalasan:jilat ketek ganyu hmmm nikmat - T 8, IT 2, TH 0, RC 0, SEX 31
mandi malem pake air dingin atau air anget? - T 0, IT 0, TH 0, RC 0, SEX 0
air es anget - T 24, IT 4, TH 0, RC 6, SEX 18
laki air dingiin - T 42, IT 13, TH 0, RC 6, SEX 38
dingin lah kwkw - T 0, IT 0, TH 0, RC 1, SEX 4
laki ga mandi - T 2, IT 65, TH 1, RC 5, SEX 1
tes - T 30, IT 14, TH 0, RC 12, SEX 35
ava - T 30, IT 14, TH 0, RC 12, SEX 35
info - T 26, IT 5, TH 0, RC 4, SEX 6
me ga mamdi - T 1, IT 36, TH 0, RC 7, SEX 1
takut ninggal  - T 37, IT 6, TH 1, RC 6, SEX 5
afh - T 30, IT 14, TH 0, RC 12, SEX 35
aku udah acc invite tapi masih pening - T 28, IT 4, TH 0, RC 7, SEX 3
invite apa - T 2, IT 2, TH 0, RC 1, SEX 20
pake air kembang aja sekalian - T 3, IT 26, TH 0, RC 2, SEX 0
page admin - T 29, IT 12, TH 0, RC 7, SEX 55
au ah - T 30, IT 14, TH 0, RC 12, SEX 35
ada yg jaog seputar otomotip sepeda motor ga? - T 0, IT 0, TH 0, RC 1, SEX 2
hadegh 4g bar kosong - T 4, IT 2, TH 0, RC 5, SEX 5
hadegh 4g bar kosong - T 4, IT 2, TH 0, RC 5, SEX 5
saya hanya tau servis ke bengkel - T 0, IT 0, TH 0, RC 0, SEX 0
  info van meijr - T 24, IT 1, TH 2, RC 5, SEX 1
info gmn pres velg - T 26, IT 5, TH 0, RC 4, SEX 6
lem biru - T 30, IT 14, TH 0, RC 12, SEX 35
tempat servis ajh bang - T 0, IT 0, TH 0, RC 1, SEX 4
lem biru - T 30, IT 14, TH 0, RC 12, SEX 35
hadegh liat pasar 700k - T 1, IT 0, TH 0, RC 3, SEX 14
lembiru - T 30, IT 14, TH 0, RC 12, SEX 35
antum beli aja linggis 50k dapet masker 10k - T 2, IT 27, TH 0, RC 12, SEX 0
dapet tuh - T 10, IT 2, TH 0, RC 8, SEX 6
ga ngerti 👍 - T 1, IT 36, TH 0, RC 7, SEX 1
libggis buat apaan - T 29, IT 19, TH 0, RC 0, SEX 9
bobol toko velg  - T 27, IT 4, TH 4, RC 15, SEX 5
oh  - T 27, IT 4, TH 4, RC 15, SEX 5
buat mukul furry - T 30, IT 23, TH 0, RC 0, SEX 1
njirs - T 30, IT 14, TH 0, RC 12, SEX 35
selamat - T 12, IT 4, TH 0, RC 7, SEX 9
malam - T 9, IT 6, TH 0, RC 5, SEX 3
njirr misah - T 30, IT 14, TH 0, RC 12, SEX 35
hbd - T 30, IT 14, TH 0, RC 12, SEX 35
mau nyepong furry - T 98, IT 97, TH 1, RC 12, SEX 94
hbd - T 30, IT 14, TH 0, RC 12, SEX 35
malam - T 9, IT 6, TH 0, RC 5, SEX 3
hbd - T 30, IT 14, TH 0, RC 12, SEX 35
malam juga - T 2, IT 7, TH 0, RC 1, SEX 1
hbd - T 30, IT 14, TH 0, RC 12, SEX 35
yg hbd semoga panjang umur sehat selalu - T 1, IT 0, TH 0, RC 0, SEX 0
terima kasih - T 3, IT 1, TH 0, RC 4, SEX 2
baru jam segini dah gada orang - T 0, IT 0, TH 0, RC 1, SEX 0
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
jir napa gada yg chat ya - T 2, IT 0, TH 1, RC 52, SEX 11
summon sih mantap - T 1, IT 9, TH 0, RC 0, SEX 2
testing - T 30, IT 14, TH 0, RC 12, SEX 35
sedang menungggu - T 30, IT 14, TH 0, RC 12, SEX 35
giveaway 3 point - T 15, IT 4, TH 0, RC 6, SEX 14
tanjoubi omedetou buat head staff - T 85, IT 4, TH 0, RC 0, SEX 1
makasi ya - T 2, IT 0, TH 10, RC 1, SEX 5
spei - T 30, IT 14, TH 0, RC 12, SEX 35
apa - T 2, IT 2, TH 0, RC 1, SEX 20
kangen yh - T 30, IT 14, TH 0, RC 12, SEX 35
iyh ada apa - T 0, IT 0, TH 0, RC 0, SEX 1
 kek biasa - T 87, IT 88, TH 9, RC 2, SEX 13
 mabar gak :( - T 1, IT 0, TH 0, RC 0, SEX 0
isi itu kh - T 2, IT 18, TH 0, RC 24, SEX 3
wait - T 30, IT 14, TH 0, RC 12, SEX 35
waalaikumsalam - T 30, IT 14, TH 0, RC 12, SEX 35
yah - T 90, IT 85, TH 1, RC 23, SEX 73
 isi paket bukan saldo onlyfans - T 0, IT 0, TH 0, RC 54, SEX 0
njirr - T 30, IT 14, TH 0, RC 12, SEX 35
boleh, tapi aku makan dulu - T 0, IT 0, TH 0, RC 1, SEX 0
 nomor nya yang masih sama kan? - T 0, IT 0, TH 2, RC 0, SEX 0
 9091 - T 27, IT 4, TH 4, RC 15, SEX 5
sip - T 30, IT 14, TH 0, RC 12, SEX 35
0295 - T 30, IT 14, TH 0, RC 12, SEX 35
wait - T 30, IT 14, TH 0, RC 12, SEX 35
 map nya remake ya, ane belum bisa contact ama yang punya - T 0, IT 0, TH 1, RC 0, SEX 0
cot - T 30, IT 14, TH 0, RC 12, SEX 35
saya mencium bau ngulang - T 4, IT 2, TH 0, RC 4, SEX 43
h3h3 - T 30, IT 14, TH 0, RC 12, SEX 35
 sip dah - T 3, IT 1, TH 2, RC 6, SEX 0
 versi brp - T 4, IT 2, TH 3, RC 14, SEX 2
 jah gajadi :( ane disuruh tidur - T 1, IT 1, TH 1, RC 2, SEX 0
njirr - T 30, IT 14, TH 0, RC 12, SEX 35
jiah - T 30, IT 11, TH 0, RC 11, SEX 33
aku gajadi mabar padahal  - T 0, IT 0, TH 0, RC 0, SEX 0
tapi emang gegara dah stress sih - T 0, IT 0, TH 0, RC 0, SEX 0
yeah sama :( - T 5, IT 1, TH 0, RC 1, SEX 2
oh ya hari ini jumat ya - T 0, IT 0, TH 1, RC 0, SEX 0
pantes disuruh tidur lebih awal - T 4, IT 12, TH 0, RC 15, SEX 0
nanti siang jumatan - T 92, IT 63, TH 1, RC 10, SEX 90
aku juga gitu - T 0, IT 0, TH 0, RC 0, SEX 0
 km ga tidur ? - T 1, IT 13, TH 8, RC 5, SEX 0
 kristen  - T 15, IT 4, TH 3, RC 12, SEX 6
besok jumatan loh - T 30, IT 14, TH 0, RC 12, SEX 35
udah tidur tadi sore - T 49, IT 10, TH 0, RC 5, SEX 29
oh yaudah - T 17, IT 11, TH 0, RC 8, SEX 24
gabisa tidur lagi - T 62, IT 62, TH 0, RC 2, SEX 55
 nah sekarang coli - T 61, IT 0, TH 3, RC 1, SEX 88
jadi ga tidur ya - T 1, IT 0, TH 3, RC 5, SEX 1
njirr - T 30, IT 14, TH 0, RC 12, SEX 35
bener - T 1, IT 1, TH 0, RC 2, SEX 1
bisa dong bewan pes - T 78, IT 4, TH 0, RC 3, SEX 41
nanti pagi tidur nya paling - T 21, IT 27, TH 0, RC 1, SEX 35
santuy gaming - T 30, IT 14, TH 0, RC 12, SEX 35
jah lagi casan - T 27, IT 28, TH 0, RC 2, SEX 6
 nanti aja gimana? - T 12, IT 58, TH 19, RC 11, SEX 0
pen beli meja yang agak tinggi aku - T 0, IT 0, TH 0, RC 0, SEX 0
meja lipat aja - T 1, IT 33, TH 0, RC 10, SEX 0
gg geming - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
njir manca - T 0, IT 0, TH 0, RC 1, SEX 1
namanya kok ga disensor bang - T 0, IT 0, TH 0, RC 0, SEX 0
hangdeh - T 30, IT 14, TH 0, RC 12, SEX 35
ada to ada mat - T 1, IT 0, TH 0, RC 2, SEX 2
tomat - T 30, IT 14, TH 0, RC 12, SEX 35
aku banget - T 1, IT 0, TH 0, RC 1, SEX 1
iya, kamu banget - T 16, IT 3, TH 9, RC 12, SEX 0
chizurut - T 30, IT 14, TH 0, RC 12, SEX 35
kok - T 1, IT 1, TH 0, RC 2, SEX 1
war kah - T 10, IT 2, TH 0, RC 2, SEX 24
mff - T 30, IT 14, TH 0, RC 12, SEX 35
maaf kawan, sepertinya kita tidak bisa bersama lagi - T 20, IT 0, TH 0, RC 0, SEX 0
ada aja youtube - T 0, IT 0, TH 0, RC 3, SEX 0
njirr - T 30, IT 14, TH 0, RC 12, SEX 35
 aku bercanda bang pikri😭 - T 0, IT 0, TH 0, RC 0, SEX 0
bang itu tulisan 1 pesan diblokir maksudnya apa ya bang - T 0, IT 0, TH 0, RC 0, SEX 0
jah - T 15, IT 21, TH 0, RC 8, SEX 8
noo - T 30, IT 14, TH 0, RC 12, SEX 35
santai - T 30, IT 14, TH 0, RC 12, SEX 35
sial aku positif - T 1, IT 0, TH 0, RC 1, SEX 2
 ada gopay gak? 1k aja - T 0, IT 0, TH 0, RC 2, SEX 0
ada - T 1, IT 0, TH 0, RC 2, SEX 2
 stres, kaget aku - T 2, IT 0, TH 2, RC 2, SEX 1
fuck kamu white boy - T 95, IT 92, TH 58, RC 10, SEX 0
yo, who ping? - T 30, IT 14, TH 0, RC 12, SEX 35
 udah belom cuk - T 10, IT 3, TH 11, RC 14, SEX 5
lah iya - T 5, IT 1, TH 0, RC 3, SEX 1
tolol anjing - T 100, IT 100, TH 97, RC 99, SEX 1
nomernya mana coek - T 1, IT 1, TH 0, RC 3, SEX 1
1304 - T 30, IT 14, TH 0, RC 12, SEX 35
tau gak? - T 1, IT 0, TH 0, RC 0, SEX 9
gatau - T 30, IT 14, TH 0, RC 12, SEX 35
btw kok dana aku ada 15k ya - T 0, IT 0, TH 0, RC 0, SEX 0
bodo amat, ane minta 1k doang - T 70, IT 38, TH 0, RC 5, SEX 53
nomernya anjing - T 30, IT 14, TH 0, RC 12, SEX 35
dm tolol - T 100, IT 100, TH 97, RC 99, SEX 1
ga gatau - T 1, IT 36, TH 0, RC 7, SEX 1
dah - T 3, IT 2, TH 0, RC 5, SEX 2
 makasih, bayarin dong - T 22, IT 4, TH 21, RC 4, SEX 3
nitrod h3h3 - T 30, IT 14, TH 0, RC 12, SEX 35
lah kok aku - T 0, IT 0, TH 0, RC 0, SEX 0
 weehhh cok - T 0, IT 0, TH 0, RC 0, SEX 1
aku dapet cashback 15 rb dari gojek - T 2, IT 0, TH 0, RC 0, SEX 8
awokokwaokwa - T 30, IT 14, TH 0, RC 12, SEX 35
njir - T 0, IT 0, TH 0, RC 1, SEX 1
mantap, bagi 6k - T 4, IT 3, TH 0, RC 4, SEX 6
enggak - T 13, IT 12, TH 0, RC 7, SEX 22
makasih buat 1k nya - T 3, IT 13, TH 0, RC 0, SEX 0
gopay pilih kasih anjing - T 20, IT 4, TH 0, RC 10, SEX 10
okwaokawokawok - T 30, IT 14, TH 0, RC 12, SEX 35
clyde - T 30, IT 14, TH 0, RC 12, SEX 35
need to get sleepy - T 2, IT 2, TH 0, RC 4, SEX 5
kece - T 30, IT 14, TH 0, RC 12, SEX 35
what do kamu buying for - T 33, IT 40, TH 32, RC 33, SEX 0
bang gini ya, mumpung staff ada yg on - T 0, IT 0, TH 0, RC 0, SEX 0
tolong cek  dong - T 22, IT 4, TH 21, RC 4, SEX 3
i am needed to get sleep but i'll see - T 30, IT 14, TH 0, RC 12, SEX 35
dilihat doang  - T 4, IT 2, TH 1, RC 4, SEX 1
 nitro ngab - T 9, IT 3, TH 3, RC 12, SEX 2
ingfo ga - T 1, IT 36, TH 0, RC 7, SEX 1
no info - T 0, IT 0, TH 0, RC 0, SEX 0
jarang jarang aku liat ga nitro - T 0, IT 0, TH 0, RC 1, SEX 0
 coba dong - T 17, IT 3, TH 18, RC 4, SEX 1
syarat staff fb usernamenya harus pikri - T 43, IT 1, TH 0, RC 4, SEX 3
nitro 3 bulan 55k itu aman ga sih? - T 0, IT 47, TH 0, RC 1, SEX 0
ga keknya - T 0, IT 1, TH 0, RC 3, SEX 0
 kayaknya - T 54, IT 1, TH 5, RC 9, SEX 20
aman kok - T 1, IT 1, TH 0, RC 1, SEX 0
ane selalu beli yang dibawah 50k dan aman - T 9, IT 2, TH 0, RC 0, SEX 5
wow menarik - T 0, IT 1, TH 0, RC 1, SEX 0
asik  dah ga slowmode - T 0, IT 3, TH 6, RC 3, SEX 0
asik maininnya jadi di pos - T 55, IT 1, TH 0, RC 14, SEX 31
danggeng - T 30, IT 14, TH 0, RC 12, SEX 35
 man of culture - T 27, IT 4, TH 4, RC 15, SEX 5
hai - T 4, IT 8, TH 0, RC 3, SEX 15
malam - T 9, IT 6, TH 0, RC 5, SEX 3
siyal - T 30, IT 14, TH 0, RC 12, SEX 35
malam - T 9, IT 6, TH 0, RC 5, SEX 3
sehat kah? - T 21, IT 14, TH 0, RC 11, SEX 39
pos - T 30, IT 14, TH 0, RC 12, SEX 35
p ingfo permabaran wildrift - T 30, IT 14, TH 0, RC 12, SEX 35
puji tuhan - T 16, IT 5, TH 0, RC 11, SEX 17
pos sehat kah? - T 21, IT 14, TH 0, RC 11, SEX 39
no info - T 0, IT 0, TH 0, RC 0, SEX 0
ga ada info - T 0, IT 0, TH 0, RC 0, SEX 0
info apa? - T 22, IT 6, TH 0, RC 2, SEX 9
ga sehat kah? - T 1, IT 32, TH 0, RC 5, SEX 1
semoga sehat selalu - T 3, IT 1, TH 0, RC 2, SEX 11
amin - T 30, IT 14, TH 0, RC 12, SEX 35
kantong saya gak sehat pak - T 0, IT 1, TH 0, RC 1, SEX 7
tolong - T 30, IT 14, TH 0, RC 12, SEX 35
same - T 30, IT 14, TH 0, RC 12, SEX 35
saya - T 4, IT 2, TH 0, RC 4, SEX 43
fuck - T 97, IT 96, TH 0, RC 2, SEX 1
kamu white boy - T 33, IT 40, TH 32, RC 33, SEX 0
saya tuh - T 1, IT 0, TH 0, RC 2, SEX 10
kantong aku keknya bolong - T 0, IT 0, TH 0, RC 1, SEX 0
masa gak ada isinya terus - T 0, IT 0, TH 0, RC 2, SEX 2
sama - T 4, IT 3, TH 0, RC 2, SEX 2
hadeh amat nih mata  - T 1, IT 1, TH 50, RC 0, SEX 0
jajan mulu - T 59, IT 43, TH 1, RC 43, SEX 78
gak nabung - T 3, IT 12, TH 0, RC 2, SEX 5
engga - T 30, IT 14, TH 0, RC 12, SEX 35
